2022-01-10 09:46:20,071 [restartedMain] WARN  [org.hibernate.id.UUIDHexGenerator] UUIDHexGenerator.java:42 - HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
2022-01-10 09:46:20,760 [restartedMain] INFO  [o.h.e.t.jta.platform.internal.JtaPlatformInitiator] JtaPlatformInitiator.java:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-01-10 09:46:20,770 [restartedMain] INFO  [o.s.orm.jpa.LocalContainerEntityManagerFactoryBean] AbstractEntityManagerFactoryBean.java:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-01-10 09:46:21,319 [restartedMain] INFO  [o.s.ws.soap.saaj.SaajSoapMessageFactory] SaajSoapMessageFactory.java:141 - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
2022-01-10 09:46:21,606 [restartedMain] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'taskScheduler'
2022-01-10 09:46:21,665 [restartedMain] INFO  [o.s.b.d.autoconfigure.OptionalLiveReloadServer] OptionalLiveReloadServer.java:57 - LiveReload server is running on port 35729
2022-01-10 09:46:21,687 [restartedMain] INFO  [com.bsjx.mes.pdm.PdmApplication] StartupInfoLogger.java:61 - Started PdmApplication in 3.762 seconds (JVM running for 4.799)
2022-01-10 09:46:21,688 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:46:21,689 [scheduling-1] INFO  [com.bsjx.mes.pdm.task.PdmSchedulerTask] PdmSchedulerTask.java:55 - 开始执行监控任务......
2022-01-10 09:46:21,770 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:87 - MonitorTask size:0
2022-01-10 09:46:21,770 [scheduling-1] INFO  [com.bsjx.mes.pdm.service.ProcessServiceImpl] ProcessServiceImpl.java:79 - 清理BOM缓存......
2022-01-10 09:46:24,757 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskScheduler] ExecutorConfigurationSupport.java:208 - Shutting down ExecutorService 'taskScheduler'
2022-01-10 09:46:24,759 [SpringContextShutdownHook] INFO  [o.s.orm.jpa.LocalContainerEntityManagerFactoryBean] AbstractEntityManagerFactoryBean.java:598 - Closing JPA EntityManagerFactory for persistence unit 'default'
2022-01-10 09:46:24,761 [SpringContextShutdownHook] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:350 - HikariPool-1 - Shutdown initiated...
2022-01-10 09:46:24,768 [SpringContextShutdownHook] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:352 - HikariPool-1 - Shutdown completed.
2022-01-10 09:46:29,325 [restartedMain] INFO  [com.bsjx.mes.pdm.PdmApplication] StartupInfoLogger.java:55 - Starting PdmApplication on WINDOWS-6JNKEE0 with PID 11392 (D:\xiangmu\mes\mes-backend\mes-pdm-master\target\classes started by EDZ in D:\xiangmu\mes\mes-backend\mes-pdm-master)
2022-01-10 09:46:29,328 [restartedMain] INFO  [com.bsjx.mes.pdm.PdmApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2022-01-10 09:46:29,378 [restartedMain] INFO  [o.s.boot.devtools.restart.ChangeableUrls] DeferredLog.java:225 - The Class-Path manifest attribute in C:\Users\EDZ\.m2\repository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/C:/Users/EDZ/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
2022-01-10 09:46:29,379 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] DeferredLog.java:225 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-01-10 09:46:29,868 [restartedMain] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-01-10 09:46:29,960 [restartedMain] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:182 - Finished Spring Data repository scanning in 86ms. Found 10 repository interfaces.
2022-01-10 09:46:30,345 [restartedMain] INFO  [org.hibernate.jpa.internal.util.LogHelper] LogHelper.java:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-01-10 09:46:30,390 [restartedMain] INFO  [org.hibernate.Version] Version.java:46 - HHH000412: Hibernate Core {5.4.6.Final}
2022-01-10 09:46:30,475 [restartedMain] INFO  [org.hibernate.annotations.common.Version] JavaReflectionManager.java:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2022-01-10 09:46:30,540 [restartedMain] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:110 - HikariPool-1 - Starting...
2022-01-10 09:46:30,744 [restartedMain] INFO  [com.zaxxer.hikari.HikariDataSource] HikariDataSource.java:123 - HikariPool-1 - Start completed.
2022-01-10 09:46:30,762 [restartedMain] INFO  [org.hibernate.dialect.Dialect] Dialect.java:172 - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
2022-01-10 09:46:30,934 [restartedMain] WARN  [org.hibernate.id.UUIDHexGenerator] UUIDHexGenerator.java:42 - HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
2022-01-10 09:46:31,342 [restartedMain] INFO  [o.h.e.t.jta.platform.internal.JtaPlatformInitiator] JtaPlatformInitiator.java:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
